iter	Passed	Remaining
0	57	57469
1	61	30508
2	64	21454
3	68	16934
4	71	14221
5	74	12391
6	78	11117
7	81	10131
8	85	9378
9	88	8760
10	92	8295
11	95	7887
12	99	7520
13	102	7228
14	106	6964
15	109	6740
16	113	6536
17	115	6314
18	119	6154
19	123	6029
20	126	5916
21	131	5849
22	135	5770
23	139	5680
24	143	5595
25	146	5484
26	149	5398
27	153	5317
28	156	5249
29	160	5189
30	163	5120
31	167	5059
32	170	4999
33	173	4942
34	177	4895
35	180	4832
36	184	4797
37	189	4798
38	195	4806
39	198	4767
40	203	4768
41	207	4735
42	211	4703
43	214	4667
44	218	4633
45	221	4603
46	225	4575
47	228	4540
48	231	4499
49	235	4468
50	238	4442
51	242	4414
52	245	4388
53	248	4361
54	252	4334
55	255	4309
56	259	4286
57	262	4264
58	266	4243
59	269	4221
60	272	4200
61	276	4179
62	279	4158
63	283	4147
64	286	4126
65	290	4109
66	293	4093
67	297	4075
68	300	4056
69	303	4038
70	307	4022
71	310	4005
72	314	3990
73	317	3974
74	321	3960
75	325	3953
76	328	3940
77	332	3926
78	335	3911
79	338	3897
80	342	3884
81	345	3871
82	349	3863
83	353	3850
84	356	3838
85	359	3824
86	363	3811
87	367	3805
88	370	3792
89	374	3789
90	378	3777
91	382	3771
92	385	3759
93	389	3750
94	392	3740
95	396	3730
96	399	3719
97	402	3708
98	406	3698
99	409	3687
100	413	3677
101	416	3667
102	419	3657
103	423	3651
104	427	3647
105	431	3643
106	435	3635
107	439	3627
108	442	3618
109	446	3610
110	449	3601
111	453	3593
112	456	3584
113	460	3577
114	463	3570
115	467	3561
116	470	3553
117	474	3544
118	477	3536
119	481	3530
120	484	3521
121	488	3513
122	492	3508
123	495	3503
124	499	3496
125	503	3490
126	507	3486
127	510	3479
128	514	3471
129	517	3463
130	521	3457
131	525	3452
132	529	3449
133	532	3441
134	536	3438
135	540	3430
136	543	3424
137	547	3417
138	550	3409
139	553	3402
140	557	3395
141	561	3392
142	564	3384
143	568	3380
144	572	3373
145	575	3366
146	579	3360
147	583	3356
148	586	3349
149	589	3343
150	596	3353
151	600	3349
152	604	3345
153	607	3339
154	611	3332
155	614	3326
156	618	3319
157	622	3315
158	625	3309
159	629	3302
160	632	3296
161	636	3290
162	639	3283
163	643	3278
164	646	3272
165	652	3277
166	655	3271
167	660	3271
168	664	3265
169	667	3260
170	671	3254
171	678	3264
172	682	3262
173	685	3256
174	689	3251
175	692	3244
176	696	3238
177	700	3233
178	703	3227
179	709	3232
180	713	3226
181	718	3229
182	722	3227
183	726	3221
184	729	3214
185	736	3221
186	741	3221
187	745	3221
188	749	3217
189	753	3211
190	757	3208
191	761	3203
192	767	3209
193	771	3206
194	775	3201
195	778	3195
196	782	3188
197	785	3182
198	789	3177
199	792	3171
200	796	3167
201	800	3161
202	805	3160
203	811	3165
204	817	3169
205	821	3166
206	826	3165
207	830	3163
208	835	3160
209	839	3158
210	844	3157
211	849	3156
212	853	3155
213	858	3152
214	865	3161
215	872	3167
216	876	3163
217	882	3164
218	886	3160
219	889	3154
220	893	3148
221	896	3141
222	899	3135
223	903	3128
224	906	3122
225	909	3116
226	917	3124
227	920	3118
228	925	3116
229	930	3113
230	934	3110
231	940	3113
232	945	3113
233	952	3116
234	956	3115
235	961	3112
236	965	3109
237	970	3105
238	977	3113
239	983	3112
240	986	3107
241	990	3103
242	994	3097
243	998	3094
244	1003	3093
245	1008	3091
246	1012	3088
247	1017	3084
248	1020	3077
249	1024	3072
250	1026	3063
251	1030	3057
252	1033	3051
253	1036	3045
254	1040	3039
255	1047	3044
256	1052	3042
257	1059	3047
258	1073	3070
259	1080	3074
260	1085	3074
261	1091	3074
262	1096	3071
263	1100	3066
264	1104	3063
265	1109	3060
266	1112	3055
267	1116	3050
268	1121	3046
269	1128	3052
270	1133	3049
271	1139	3049
