data;curs
01.09.2010;39,0127
02.09.2010;39,1654
03.09.2010;39,2901
04.09.2010;39,3505
07.09.2010;39,4720
08.09.2010;39,3215
09.09.2010;39,2948
10.09.2010;39,1868
11.09.2010;39,1917
14.09.2010;39,3235
15.09.2010;39,5264
16.09.2010;39,9107
17.09.2010;40,3166
18.09.2010;40,8115
21.09.2010;40,5416
22.09.2010;40,6483
23.09.2010;41,2254
24.09.2010;41,5380
25.09.2010;41,2599
28.09.2010;41,2220
29.09.2010;41,0884
30.09.2010;41,3481
01.10.2010;41,4392
02.10.2010;41,6606
05.10.2010;41,9747
06.10.2010;41,7156
07.10.2010;41,4017
08.10.2010;41,3564
09.10.2010;41,6717
12.10.2010;41,6600
13.10.2010;41,5895
14.10.2010;42,0451
15.10.2010;42,1585
16.10.2010;42,3939
19.10.2010;42,3577
20.10.2010;42,2983
21.10.2010;42,4411
22.10.2010;42,8781
23.10.2010;42,5351
26.10.2010;42,4975
27.10.2010;42,4658
28.10.2010;42,1841
29.10.2010;42,4316
30.10.2010;42,7256
02.11.2010;42,9848
03.11.2010;42,9147
04.11.2010;43,1654
09.11.2010;42,9854
10.11.2010;42,7798
11.11.2010;42,3004
12.11.2010;42,0590
13.11.2010;41,8779
14.11.2010;42,2311
16.11.2010;42,1715
17.11.2010;42,2175
18.11.2010;42,2863
19.11.2010;42,4069
20.11.2010;42,3568
23.11.2010;42,6367
24.11.2010;42,4036
25.11.2010;41,9168
26.11.2010;41,6956
27.11.2010;41,6192
30.11.2010;41,5682
01.12.2010;41,0814
02.12.2010;41,0620
03.12.2010;41,2276
04.12.2010;41,3374
07.12.2010;41,7677
08.12.2010;41,6525
09.12.2010;41,2720
10.12.2010;41,2106
11.12.2010;40,9394
14.12.2010;40,8042
15.12.2010;41,2932
16.12.2010;40,8851
17.12.2010;40,6798
18.12.2010;40,7979
21.12.2010;40,5055
22.12.2010;40,4720
23.12.2010;40,3582
24.12.2010;40,1706
25.12.2010;40,1548
28.12.2010;40,0594
29.12.2010;40,0226
30.12.2010;39,9011
31.12.2010;40,3331
01.01.2011;40,4876
12.01.2011;39,6076
13.01.2011;39,5154
14.01.2011;39,4815
15.01.2011;40,1264
18.01.2011;39,9680
19.01.2011;39,9066
20.01.2011;40,1895
21.01.2011;40,2113
22.01.2011;40,5807
25.01.2011;40,5624
26.01.2011;40,7027
27.01.2011;40,7198
28.01.2011;40,6205
29.01.2011;40,6487
01.02.2011;40,5811
02.02.2011;40,7368
03.02.2011;40,7258
04.02.2011;40,5279
05.02.2011;40,0819
08.02.2011;39,9593
09.02.2011;39,8892
10.02.2011;39,9871
11.02.2011;40,1350
12.02.2011;39,7667
15.02.2011;39,6040
16.02.2011;39,4703
17.02.2011;39,6802
18.02.2011;39,6821
19.02.2011;39,7682
22.02.2011;39,8868
23.02.2011;39,6795
25.02.2011;40,0294
26.02.2011;40,0073
01.03.2011;39,8136
02.03.2011;39,7219
03.03.2011;39,3974
04.03.2011;39,2752
05.03.2011;39,3476
06.03.2011;39,4038
10.03.2011;39,3039
11.03.2011;39,3151
12.03.2011;39,5375
15.03.2011;39,9347
16.03.2011;39,9813
17.03.2011;40,0728
18.03.2011;40,1097
19.03.2011;40,0633
22.03.2011;40,1996
23.03.2011;40,0858
24.03.2011;40,0642
25.03.2011;39,9495
26.03.2011;40,0156
29.03.2011;39,9288
30.03.2011;40,0325
31.03.2011;40,0223
01.04.2011;40,3875
02.04.2011;40,1980
05.04.2011;40,1624
06.04.2011;40,1652
07.04.2011;40,2789
08.04.2011;40,3528
09.04.2011;40,4859
12.04.2011;40,4390
13.04.2011;40,5268
14.04.2011;40,7604
15.04.2011;40,8791
16.04.2011;40,8304
19.04.2011;40,4739
20.04.2011;40,4407
21.04.2011;40,5523
22.04.2011;40,8117
23.04.2011;40,7443
26.04.2011;40,7933
27.04.2011;40,5837
28.04.2011;40,6681
29.04.2011;40,8121
30.04.2011;40,8078
04.05.2011;40,5211
05.05.2011;40,5751
06.05.2011;40,5421
07.05.2011;40,2974
11.05.2011;39,8657
12.05.2011;39,7827
13.05.2011;39,6934
14.05.2011;39,7137
17.05.2011;39,6830
18.05.2011;39,8512
19.05.2011;40,0113
20.05.2011;39,8889
21.05.2011;39,9652
24.05.2011;39,8117
25.05.2011;39,9938
26.05.2011;39,9566
27.05.2011;40,0217
28.05.2011;40,0802
31.05.2011;40,0594
01.06.2011;40,2444
02.06.2011;40,3497
03.06.2011;40,3074
04.06.2011;40,3436
07.06.2011;40,6879
08.06.2011;40,6581
09.06.2011;40,6273
10.06.2011;40,5244
11.06.2011;40,2298
15.06.2011;40,2825
16.06.2011;40,1280
17.06.2011;39,8184
18.06.2011;39,8913
21.06.2011;40,0470
22.06.2011;40,2277
23.06.2011;40,1814
24.06.2011;40,0791
25.06.2011;40,1189
28.06.2011;40,0923
29.06.2011;40,3029
30.06.2011;40,3870
01.07.2011;40,4153
02.07.2011;40,4824
05.07.2011;40,4155
06.07.2011;40,3110
07.07.2011;40,2435
08.07.2011;40,0917
09.07.2011;40,0193
12.07.2011;39,8033
13.07.2011;39,5051
14.07.2011;39,5919
15.07.2011;39,8214
16.07.2011;39,7388
19.07.2011;39,5894
20.07.2011;39,7316
21.07.2011;39,7280
22.07.2011;39,8415
23.07.2011;39,9484
26.07.2011;39,8365
27.07.2011;39,9389
28.07.2011;39,7937
29.07.2011;39,5982
30.07.2011;39,5182
02.08.2011;39,6431
03.08.2011;39,5173
04.08.2011;39,5923
05.08.2011;39,8158
